"variable","n_obs","n_not_na","n_na","frac_na","n_zeros","frac_zeros","mean","sd","skewness","min","max","p10","p20","p30","p40","p50","p60","p70","p80","p90","p99","p999","p9999"
"YEAR",43418930,43418930,0,0,0,0,2006.5405,5.0429,-0.1485,2000,2014,2000,2000,2000,2006,2007,2009,2010,2012,2013,2014,2014,2014
"SAMPLE",43418930,43418930,0,0,0,0,200655.0493,504.2879,-0.1485,200001,201401,200001,200001,200001,200601,200701,200901,201001,201201,201301,201401,201401,201401
"SERIAL",43418930,43418930,0,0,0,0,1453323.606,1544023.7682,1.5986,1,6184437,171386,372093,552543,732382,908072,1091563,1266517,2339442.2,4269995.1,5986094,6164437,6182301.1071
"CBSERIAL",43418930,29670998,13747932,0.3166,0,0,710252.2353,412247.3655,0.0271,1,1502034,141656,283264,425016,566711,708349,850032,991476,1133022,1276252,1460917,1494288,1500848
"NUMPREC",43418930,43418930,0,0,0,0,3.2712,1.7633,1.239,1,54,1,2,2,2,3,4,4,5,5,9,12,17
"SUBSAMP",43418930,43418930,0,0,434787,0.01,49.5058,28.868,-3e-04,0,99,9,20,30,40,50,60,70,80,90,99,99,99
"HHWT",43418930,43418930,0,0,531,0,72.2375,69.6732,2.8752,0,2414,15,21,26,39,59,71,85,103,148,336,563,935
"HHTYPE",43418930,43418930,0,0,1372013,0.0316,2.234,2.2619,1.8137,0,9,1,1,1,1,1,1,3,3,6,9,9,9
"CLUSTER",43418930,43418930,0,0,0,0,2006555026174.25,5032940887.9287,-0.1463,2000000000011,2014013607431,2000020221360,2000039551931,2000058578728,2006003890561,2007010567216,2009003602621,2010010068371,2012001905791,2013007930952,2014011759811,2014013412581.71,2014013588131
"REGION",43418930,43418930,0,0,0,0,27.681,10.256,-0.1981,11,42,12,21,21,22,31,31,33,41,42,42,42,42
"STATEFIP",43418930,43418930,0,0,0,0,27.9945,15.8248,-0.0348,1,55,6,12,17,23,28,36,39,45,48,55,55,55
"COUNTYFIP",43418930,43418930,0,0,18523655,0.4266,44.5172,80.7449,4.5157,0,810,0,0,0,0,11,31,53,81,113,479,810,810
"PUMA",43418930,43418930,0,0,0,0,2780.5047,4847.5132,8.6797,100,77777,301,608,1002,1400,1901,2400,3106,3806,5400,11612,59303,77777
"MET2013",43418930,43418930,0,0,11772845,0.2711,22494.3851,16552.1107,-0.1736,0,49740,0,0,12100,16980,25860,31080,35620,38860,41940,49180,49700,49740
