"treated.0.variable","treated.0.n_obs","treated.0.frac_na","treated.0.frac_zeros","treated.0.mean","treated.0.sd","treated.0.min","treated.0.max","treated.1.variable","treated.1.n_obs","treated.1.frac_na","treated.1.frac_zeros","treated.1.mean","treated.1.sd","treated.1.min","treated.1.max"
"YEAR",35409729,0,0,2006.5378,5.0418,2000,2014,"YEAR",8009201,0,0,2006.5525,5.0478,2000,2014
"SAMPLE",35409729,0,0,200654.7778,504.1767,200001,201401,"SAMPLE",8009201,0,0,200656.2497,504.7778,200001,201401
"SERIAL",35409729,0,0,1368977.705,1494621.6574,1,6103087,"SERIAL",8009201,0,0,1826227.9063,1696225.0718,1,6184437
"CBSERIAL",35409729,0.3167,0,710184.6996,412241.3759,1,1502033,"CBSERIAL",8009201,0.3164,0,710550.7078,412273.7409,2,1502034
"NUMPREC",35409729,0,0,3.2767,1.774,1,54,"NUMPREC",8009201,0,0,3.2469,1.7151,1,32
"SUBSAMP",35409729,0,0.01,49.5084,28.8668,0,99,"SUBSAMP",8009201,0,0.01,49.4945,28.873,0,99
"HHWT",35409729,0,0,72.1112,68.9448,0,2414,"HHWT",8009201,0,0,72.7957,72.8038,0,2256
"HHTYPE",35409729,0,0.0313,2.251,2.2812,0,9,"HHTYPE",8009201,0,0.033,2.1593,2.1728,0,9
"CLUSTER",35409729,0,0,2006551467601.81,5032187811.6142,2000000000011,2014013607431,"CLUSTER",8009201,0,0,2006570759089.69,5036239169.3671,2000011934991,2014013344331
"REGION",35409729,0,0,27.6599,10.5514,11,42,"REGION",8009201,0,0,27.7745,8.8315,12,33
"STATEFIP",35409729,0,0,25.8153,14.9683,4,55,"STATEFIP",8009201,0,0,37.6291,15.9126,1,54
"COUNTYFIP",35409729,0,0.4055,40.3117,74.1276,0,810,"COUNTYFIP",8009201,0,0.5202,63.1102,103.0863,0,491
"PUMA",35409729,0,0,2822.0174,5155.8469,100,70301,"PUMA",8009201,0,0,2596.9714,3133.7944,100,77777
"MET2013",35409729,0,0.2578,23315.5958,16626.2257,0,49740,"MET2013",8009201,0,0.3301,18863.7045,15714.2415,0,49660
"MET2013ERR",35409729,0,0.2578,1.9389,1.876,0,6,"MET2013ERR",8009201,0,0.3301,2.1722,2.0219,0,6
"METPOP10",35409729,0,0,3753642.5857,5532355.1596,6820,19567410,"METPOP10",8009201,0,0,1933852.9202,2476996.4702,9445,6426214
"STRATA",35409729,0,0,212509.0496,524133.9725,4,7030155,"STRATA",8009201,0,0,181952.7637,322106.1796,4,7777722
"GQ",35409729,0,0,1.0798,0.4439,1,5,"GQ",8009201,0,0,1.0804,0.4398,1,5
"NFAMS",35409729,0,0,1.0878,0.4267,1,30,"NFAMS",8009201,0,0,1.0641,0.3597,1,30
"NCOUPLES",35409729,0,0.2982,0.7176,0.4858,0,6,"NCOUPLES",8009201,0,0.3005,0.7122,0.481,0,4
"PERNUM",35409729,0,0,2.1384,1.364,1,54,"PERNUM",8009201,0,0,2.1234,1.3326,1,32
"PERWT",35409729,0,1e-04,75.1431,73.5998,0,2471,"PERWT",8009201,0,1e-04,75.9544,77.9028,0,2256
"FAMUNIT",35409729,0,0,1.0328,0.2465,1,30,"FAMUNIT",8009201,0,0,1.0238,0.2086,1,30
"FAMSIZE",35409729,0,0,3.1599,1.7394,1,31,"FAMSIZE",8009201,0,0,3.1624,1.6982,1,21
"SUBFAM",35409729,0,0.9684,0.0325,0.1829,0,5,"SUBFAM",8009201,0,0.9662,0.0346,0.1871,0,4
"SFTYPE",35409729,0,0.9684,0.0976,0.6041,0,8,"SFTYPE",8009201,0,0.9662,0.1056,0.623,0,8
"SFRELATE",35409729,0,0.9685,0.0652,0.3964,0,3,"SFRELATE",8009201,0,0.9662,0.0711,0.417,0,3
"CBSUBFAM",35409729,0,0.9722,0.0284,0.1698,0,4,"CBSUBFAM",8009201,0,0.9691,0.0315,0.1779,0,3
"CBSFTYPE",35409729,0,0.9722,0.0827,0.5279,0,4,"CBSFTYPE",8009201,0,0.9691,0.0947,0.5697,0,4
"MOMLOC",35409729,0,0.7068,0.5202,0.9542,0,30,"MOMLOC",8009201,0,0.704,0.5194,0.9348,0,19
"MOMRULE",35409729,0,0.7068,3.4565,5.6934,0,37,"MOMRULE",8009201,0,0.704,3.5051,5.7391,0,37
"POPLOC",35409729,0,0.7646,0.341,0.7772,0,21,"POPLOC",8009201,0,0.7662,0.3332,0.7545,0,19
"POPRULE",35409729,0,0.7646,2.7118,5.0879,0,38,"POPRULE",8009201,0,0.7662,2.6923,5.0641,0,38
"SPLOC",35409729,0,0.5458,0.722,0.9414,0,22,"SPLOC",8009201,0,0.546,0.716,0.9232,0,24
"SPRULE",35409729,0,0.5458,5.4539,6.3994,0,53,"SPRULE",8009201,0,0.546,5.3853,6.2897,0,53
"NCHILD",35409729,0,0.7093,0.5298,0.981,0,9,"NCHILD",8009201,0,0.7063,0.531,0.9759,0,9
"RELATE",35409729,0,0,2.9633,3.0333,1,13,"RELATE",8009201,0,0,2.92,2.9788,1,13
"RELATED",35409729,0,0,299.6,309.9382,101,1301,"RELATED",8009201,0,0,294.915,303.5911,101,1301
"SEX",35409729,0,0,1.5135,0.4998,1,2,"SEX",8009201,0,0,1.5136,0.4998,1,2
"AGE",35409729,0,0.0117,38.6998,23.1806,0,96,"AGE",8009201,0,0.0121,38.347,23.2574,0,95
"MARST",35409729,0,0,3.5932,2.3164,1,6,"MARST",8009201,0,0,3.5517,2.3124,1,6
"BIRTHYR",35409729,0,0,1967.838,23.3506,1907,2014,"BIRTHYR",8009201,0,0,1968.2055,23.4527,1907,2014
"RACE",35409729,0,0,1.7641,1.8184,1,9,"RACE",8009201,0,0,1.6491,1.6838,1,9
"RACED",35409729,0,0,178.004,185.6122,100,991,"RACED",8009201,0,0,166.0514,171.2276,100,990
"HISPAN",35409729,0,0.8783,0.2412,0.7894,0,4,"HISPAN",8009201,0,0.845,0.2371,0.7029,0,4
"HISPAND",35409729,0,0.8783,25.6349,86.5001,0,498,"HISPAND",8009201,0,0.845,25.3025,79.2379,0,498
"BPL",35409729,0,0,69.1275,121.5922,1,950,"BPL",8009201,0,0,58.6208,90.6741,1,950
"BPLD",35409729,0,0,6913.9591,12162.0176,100,95000,"BPLD",8009201,0,0,5862.6568,9069.3525,100,95000
"LANGUAGE",35409729,0,0.0603,4.3313,10.3263,0,96,"LANGUAGE",8009201,0,0.0626,3.3582,7.7118,0,96
"LANGUAGED",35409729,0,0.0603,433.4528,1033.5269,0,9601,"LANGUAGED",8009201,0,0.0626,336.0275,771.9495,0,9601
"SCHOOL",35409729,0,0.0355,1.2221,0.4938,0,2,"SCHOOL",8009201,0,0.0369,1.2173,0.4938,0,2
"EDUC",35409729,0,0.0727,5.7104,3.243,0,11,"EDUC",8009201,0,0.0769,5.4272,3.1613,0,11
"EDUCD",35409729,0,0,59.1489,32.5649,1,116,"EDUCD",8009201,0,0,56.3069,31.7145,1,116
"EMPSTAT",35409729,0,0.2071,1.425,1.1203,0,3,"EMPSTAT",8009201,0,0.2133,1.4427,1.1392,0,3
"EMPSTATD",35409729,0,0.2071,14.2848,11.1937,0,30,"EMPSTATD",8009201,0,0.2133,14.4581,11.3838,0,30
"LABFORCE",35409729,0,0.2071,1.2876,0.7868,0,2,"LABFORCE",8009201,0,0.2133,1.2611,0.7871,0,2
"OCC",35409729,0,0.4045,1870.0785,2667.5848,0,9920,"OCC",8009201,0,0.4221,1881.3043,2702.5066,0,9920
"IND",35409729,0,0.4045,2685.2662,3465.7138,0,9920,"IND",8009201,0,0.4221,2540.7724,3415.9754,0,9920
"INCTOT",35409729,0,0.0988,1957813.2469,3935101.0834,-20000,9999999,"INCTOT",8009201,0,0.1072,2013606.1578,3981407.944,-20000,9999999
"FTOTINC",35409729,0,0.0106,398448.6639,1766525.53,-39996,9999999,"FTOTINC",8009201,0,0.0113,406609.9691,1810199.2674,-30000,9999999
"treat_year",35409729,1,NA,NA,NA,NA,NA,"treat_year",8009201,0,0,2006.46,1.408,2005,2008
"HHTYPE_1",35409729,0.0901,0,1.8922,1.5726,1,7,"HHTYPE_1",8009201,0.0829,0,1.8641,1.5308,1,7
"REGION_1",35409729,0,0,27.6599,10.5514,11,42,"REGION_1",8009201,0,0,27.7745,8.8315,12,33
"STATEFIP_1",35409729,0,0,25.8153,14.9683,4,55,"STATEFIP_1",8009201,0,0,37.6291,15.9126,1,54
"COUNTYFIP_1",35409729,0.4055,0,67.8044,85.8971,1,810,"COUNTYFIP_1",8009201,0.5202,0,131.5238,114.6671,3,491
"MET2013_1",35409729,0.2578,0,31414.9273,10863.5962,10420,49740,"MET2013_1",8009201,0.3301,0,28157.6462,10339.497,10780,49660
"MET2013ERR_1",35409729,0.2578,0,2.6124,1.727,1,6,"MET2013ERR_1",8009201,0.3301,0,3.2424,1.6225,1,6
"RELATED_1",35409729,0,0,299.6,309.9382,101,1301,"RELATED_1",8009201,0,0,294.915,303.5911,101,1301
"SEX_1",35409729,0,0,1.5135,0.4998,1,2,"SEX_1",8009201,0,0,1.5136,0.4998,1,2
"AGE_1",35409729,0,0.0117,38.6998,23.1806,0,96,"AGE_1",8009201,0,0.0121,38.347,23.2574,0,95
"MARST_1",35409729,0,0,3.5932,2.3164,1,6,"MARST_1",8009201,0,0,3.5517,2.3124,1,6
"BIRTHYR_1",35409729,0,0,1967.838,23.3506,1907,2014,"BIRTHYR_1",8009201,0,0,1968.2055,23.4527,1907,2014
"RACED_1",35409729,0,0,178.004,185.6122,100,991,"RACED_1",8009201,0,0,166.0514,171.2276,100,990
"HISPAN_1",35409729,0,0.8783,0.2412,0.7894,0,4,"HISPAN_1",8009201,0,0.845,0.2371,0.7029,0,4
"HISPAND_1",35409729,0,0.8783,25.6349,86.5001,0,498,"HISPAND_1",8009201,0,0.845,25.3025,79.2379,0,498
"BPL_1",35409729,0,0,69.1275,121.5922,1,950,"BPL_1",8009201,0,0,58.6208,90.6741,1,950
"BPLD_1",35409729,0.1285,0,2758.6994,1461.0299,100,5600,"BPLD_1",8009201,0.0861,0,3475.366,1618.2693,100,5600
"LANGUAGE_1",35409729,4e-04,0.0603,4.2969,10.1744,0,94,"LANGUAGE_1",8009201,2e-04,0.0626,3.3401,7.6031,0,94
"LANGUAGED_1",35409729,0,0.0603,433.4528,1033.5269,0,9601,"LANGUAGED_1",8009201,0,0.0626,336.0275,771.9495,0,9601
"EDUC_1",35409729,0.0727,0,6.1579,2.93,1,11,"EDUC_1",8009201,0.0769,0,5.8794,2.8579,1,11
"EDUCD_1",35409729,0.0355,0,61.2913,31.1509,2,116,"EDUCD_1",8009201,0.0369,0,58.4242,30.3764,2,116
"EMPSTAT_1",35409729,0.2071,0,1.7971,0.956,1,3,"EMPSTAT_1",8009201,0.2133,0,1.8339,0.9656,1,3
"EMPSTATD_1",35409729,0.2071,0,18.015,9.5299,10,30,"EMPSTATD_1",8009201,0.2133,0,18.3787,9.6269,10,30
"LABFORCE_1",35409729,0.2071,0,1.6239,0.4844,1,2,"LABFORCE_1",8009201,0.2133,0,1.6031,0.4893,1,2
"OCC_1",35409729,0.4045,0,3140.4181,2821.4354,1,9920,"OCC_1",8009201,0.4221,0,3255.375,2857.4118,1,9920
"IND_1",35409729,0.4045,0,4509.3607,3456.1294,17,9920,"IND_1",8009201,0.4221,0,4396.5068,3468.8449,17,9920
"INCTOT_1",35409729,0.2919,0,37113.835,49572.9732,-20000,1471000,"INCTOT_1",8009201,0.3062,0,33435.8459,44314.9712,-20000,1135000
"FTOTINC_1",35409729,0.0433,0,74846.9553,76541.6854,-39996,3537500,"FTOTINC_1",8009201,0.0457,0,66272.2899,67211.8699,-30000,1722700
"treated",35409729,0,1,0,0,0,0,"treated",8009201,0,0,1,0,1,1
"school_years",35409729,0.0355,0.0976,11.2715,5.2174,0,24,"school_years",8009201,0.0369,0.1028,10.869,5.1152,0,24
"oil_and_gas_industry",35409729,0,0.9985,0.0015,0.0383,0,1,"oil_and_gas_industry",8009201,0,0.9914,0.0086,0.0924,0,1
"treat_year_CSDID",35409729,0,0,3000,0,3000,3000,"treat_year_CSDID",8009201,0,0,2006.46,1.408,2005,2008
"log_INCTOT",35409729,0.0996,1e-04,11.2491,2.7787,0,16.1180955509583,"log_INCTOT",8009201,0.1079,1e-04,11.2278,2.8414,0,16.1180955509583
"log_FTOTINC",35409729,0.011,0,11,1.3467,0,16.1180955509583,"log_FTOTINC",8009201,0.0117,0,10.8903,1.3804,0,16.1180955509583
"college",35409729,0,0.3544,0.6456,0.4783,0,1,"college",8009201,0,0.3826,0.6174,0.486,0,1
"W",35409729,0,1,0,0,0,0,"W",8009201,0,0.4123,0.5877,0.4923,0,1
