"variable","n_obs","frac_na","frac_zeros","mean","sd","min","max"
"YEAR",43418930,0,0,2008.7715,3.8184,2000,2014
"SAMPLE",43418930,0,0,200878.1543,381.8383,200001,201401
"SERIAL",43418930,0,0,885962.6639,929991.0003,1,6184437
"CBSERIAL",43418930,0.3166,0,710329.5383,412249.088,1,1502034
"NUMPREC",43418930,0,0,3.3335,1.7588,1,54
"SUBSAMP",43418930,0,0.01,49.4971,28.861,0,99
"HHWT",43418930,0,0,136.457,114.0001,0,2414
"HHTYPE",43418930,0,0.0316,2.376,2.3301,0,9
"CLUSTER",43418930,0,0,2008780402660.88,3813752559.9776,2000000000011,2014013607431
"REGION",43418930,0,0,27.8602,10.2522,11,42
"STATEFIP",43418930,0,0,27.9251,15.8917,1,55
"COUNTYFIP",43418930,0,0.4266,49.2386,83.4095,0,810
"PUMA",43418930,0,0,3056.0718,5540.4905,100,77777
"MET2013",43418930,0,0.2711,23900.3154,15877.088,0,49740
"MET2013ERR",43418930,0,0.2711,2.1319,1.8925,0,6
"METPOP10",43418930,0,0,3705791.035,5263040.4943,6820,19567410
"STRATA",43418930,0,0,286142.8107,557929.4765,4,7777722
"GQ",43418930,0,0,1.0624,0.3943,1,5
"NFAMS",43418930,0,0,1.099,0.4436,1,30
"NCOUPLES",43418930,0,0.2986,0.6945,0.4975,0,6
"PERNUM",43418930,0,0,2.1922,1.3736,1,54
"PERWT",43418930,0,1e-04,148.8361,126.915,0,2471
"FAMUNIT",43418930,0,0,1.0416,0.2688,1,30
"FAMSIZE",43418930,0,0,3.2029,1.7439,1,31
"SUBFAM",43418930,0,0.968,0.0392,0.1996,0,5
"SFTYPE",43418930,0,0.968,0.1174,0.6595,0,8
"SFRELATE",43418930,0,0.968,0.0756,0.4202,0,3
"CBSUBFAM",43418930,0,0.9717,0.0346,0.1861,0,4
"CBSFTYPE",43418930,0,0.9717,0.1019,0.5854,0,4
"MOMLOC",43418930,0,0.7063,0.5338,0.9625,0,30
"MOMRULE",43418930,0,0.7063,3.692,5.8568,0,37
"POPLOC",43418930,0,0.7649,0.3715,0.8319,0,21
"POPRULE",43418930,0,0.7649,2.7928,5.1685,0,38
"SPLOC",43418930,0,0.5459,0.6843,0.9637,0,24
"SPRULE",43418930,0,0.5459,5.1673,6.548,0,53
"NCHILD",43418930,0,0.7087,0.5329,0.9851,0,9
"RELATE",43418930,0,0,3.0671,3.0583,1,13
"RELATED",43418930,0,0,309.9318,312.1739,101,1301
"SEX",43418930,0,0,1.5084,0.4999,1,2
"AGE",43418930,0,0.0117,37.167,22.6964,0,96
"MARST",43418930,0,0,3.7578,2.3023,1,6
"BIRTHYR",43418930,0,0,1971.6046,22.9064,1907,2014
"RACE",43418930,0,0,1.8339,1.8759,1,9
"RACED",43418930,0,0,184.9341,191.1333,100,991
"HISPAN",43418930,0,0.8721,0.2914,0.8382,0,4
"HISPAND",43418930,0,0.8721,30.6315,90.7351,0,498
"BPL",43418930,0,0,72.5465,123.2794,1,950
"BPLD",43418930,0,0,7256.0147,12331.012,100,95000
"LANGUAGE",43418930,0,0.0607,4.5738,10.288,0,96
"LANGUAGED",43418930,0,0.0607,457.7438,1029.8262,0,9601
"SCHOOL",43418930,0,0.0358,1.2252,0.5025,0,2
"EDUC",43418930,0,0.0735,5.662,3.2593,0,11
"EDUCD",43418930,0,0,58.7629,32.6021,1,116
"EMPSTAT",43418930,0,0.2082,1.386,1.1065,0,3
"EMPSTATD",43418930,0,0.2082,13.8955,11.057,0,30
"LABFORCE",43418930,0,0.2082,1.2924,0.7967,0,2
"OCC",43418930,0,0.4078,2461.9198,2916.461,0,9920
"IND",43418930,0,0.4078,3474.3812,3686.2624,0,9920
"INCTOT",43418930,0,0.1003,2028302.711,3988854.9458,-20000,9999999
"FTOTINC",43418930,0,0.0107,326526.9734,1564341.9023,-39996,9999999
"treat_year",43418930,0.8155,0,2006.4196,1.4081,2005,2008
"HHTYPE_1",43418930,0.0888,0,1.9674,1.5875,1,7
"REGION_1",43418930,0,0,27.8602,10.2522,11,42
"STATEFIP_1",43418930,0,0,27.9251,15.8917,1,55
"COUNTYFIP_1",43418930,0.4266,0,79.234,93.9077,1,810
"MET2013_1",43418930,0.2711,0,30659.7723,10776.456,10420,49740
"MET2013ERR_1",43418930,0.2711,0,2.7349,1.7163,1,6
"RELATED_1",43418930,0,0,309.9318,312.1739,101,1301
"SEX_1",43418930,0,0,1.5084,0.4999,1,2
"AGE_1",43418930,0,0.0117,37.167,22.6964,0,96
"MARST_1",43418930,0,0,3.7578,2.3023,1,6
"BIRTHYR_1",43418930,0,0,1971.6046,22.9064,1907,2014
"RACED_1",43418930,0,0,184.9341,191.1333,100,991
"HISPAN_1",43418930,0,0.8721,0.2914,0.8382,0,4
"HISPAND_1",43418930,0,0.8721,30.6315,90.7351,0,498
"BPL_1",43418930,0,0,72.5465,123.2794,1,950
"BPLD_1",43418930,0.1207,0,2870.2609,1531.7073,100,5600
"LANGUAGE_1",43418930,3e-04,0.0607,4.5614,10.2331,0,94
"LANGUAGED_1",43418930,0,0.0607,457.7438,1029.8262,0,9601
"EDUC_1",43418930,0.0735,0,6.1314,2.937,1,11
"EDUCD_1",43418930,0.0358,0,61.1066,31.0669,2,116
"EMPSTAT_1",43418930,0.2082,0,1.7633,0.9447,1,3
"EMPSTATD_1",43418930,0.2082,0,17.6778,9.4166,10,30
"LABFORCE_1",43418930,0.2082,0,1.6442,0.4788,1,2
"OCC_1",43418930,0.4078,0,4130.5545,2716.3144,1,9920
"IND_1",43418930,0.4078,0,5829.2399,3011.8931,17,9920
"INCTOT_1",43418930,0.2946,0,37506.2125,49300.1834,-20000,1471000
"FTOTINC_1",43418930,0.0437,0,75070.8353,76278.5469,-39996,3537500
"treated",43418930,0,0.8155,0.1861,0.3892,0,1
"school_years",43418930,0.0358,0.0985,11.2347,5.184,0,24
"oil_and_gas_industry",43418930,0,0.9972,0.0027,0.052,0,1
"treat_year_CSDID",43418930,0,0,2815.1104,386.6767,2005,3000
"log_INCTOT",43418930,0.1012,1e-04,11.3178,2.8068,0,16.1180955509583
"log_FTOTINC",43418930,0.0111,0,10.9555,1.2907,0,16.1180955509583
"college",43418930,0,0.3596,0.6436,0.4789,0,1
"W",43418930,0,0.8916,0.1473,0.3544,0,1
